"","first_id","last_id","gender","rank","institution_id","city_id","region","sector","year"
"1",462,4,"M","associate professor",1,1,"Campania","Math",2015
"2",3823,352,"F","associate professor",1,1,"Campania","Math",2015
"3",5907,914,"M","assistant professor",1,1,"Campania","Math",2015
"4",5282,927,"F","associate professor",1,1,"Campania","Math",2015
"5",8635,1409,"M","professor",1,1,"Campania","Math",2015
"6",1358,3380,"M","professor",1,1,"Campania","Math",2015
"7",622,5346,"F","associate professor",1,1,"Campania","Math",2015
"8",536,5875,"F","assistant professor",1,1,"Campania","Math",2015
"9",1278,6044,"M","associate professor",1,1,"Campania","Math",2015
"10",3064,6059,"M","assistant professor",1,1,"Campania","Math",2015
"11",4913,6255,"F","associate professor",1,1,"Campania","Math",2015
"12",3938,6459,"M","associate professor",1,1,"Campania","Math",2015
"13",6781,6534,"F","associate professor",1,1,"Campania","Math",2015
"14",7323,6898,"M","associate professor",1,1,"Campania","Math",2015
"15",6285,7368,"M","professor",1,1,"Campania","Math",2015
"16",1872,8192,"F","assistant professor",1,1,"Campania","Math",2015
"17",1840,8256,"F","assistant professor",1,1,"Campania","Math",2015
"18",3329,8521,"M","professor",1,1,"Campania","Math",2015
"19",7323,9249,"M","assistant professor",1,1,"Campania","Math",2015
"20",1658,9335,"M","professor",1,1,"Campania","Math",2015
"21",6840,9361,"M","associate professor",1,1,"Campania","Math",2015
"22",693,9529,"F","associate professor",1,1,"Campania","Math",2015
"23",1722,9634,"F","professor",1,1,"Campania","Math",2015
"24",1476,10125,"F","assistant professor",1,1,"Campania","Math",2015
"25",3526,10132,"M","assistant professor",1,1,"Campania","Math",2015
"26",7520,10336,"M","associate professor",1,1,"Campania","Math",2015
"27",323,10397,"M","professor",1,1,"Campania","Math",2015
"28",2934,10397,"F","associate professor",1,1,"Campania","Math",2015
"29",6070,10398,"M","professor",1,1,"Campania","Math",2015
"30",1818,9873,"M","associate professor",1,1,"Campania","Math",2015
"31",8635,10489,"M","assistant professor",1,1,"Campania","Math",2015
"32",622,10653,"F","associate professor",1,1,"Campania","Math",2015
"33",878,10665,"M","associate professor",1,1,"Campania","Math",2015
"34",6966,10757,"F","assistant professor",1,1,"Campania","Math",2015
"35",878,10909,"M","professor",1,1,"Campania","Math",2015
"36",7448,11065,"M","assistant professor",1,1,"Campania","Math",2015
"37",8375,11408,"F","assistant professor",1,1,"Campania","Math",2015
"38",4973,11584,"M","associate professor",1,1,"Campania","Math",2015
"39",612,12121,"M","assistant professor",1,1,"Campania","Math",2015
"40",2119,12238,"M","assistant professor",1,1,"Campania","Math",2015
"41",2934,12313,"F","professor",1,1,"Campania","Math",2015
"42",2545,12558,"M","associate professor",1,1,"Campania","Math",2015
"43",7474,12895,"F","assistant professor",1,1,"Campania","Math",2015
"44",8734,13152,"M","assistant professor",1,1,"Campania","Math",2015
"45",5181,13659,"F","professor",1,1,"Campania","Math",2015
"46",8604,13808,"F","associate professor",1,1,"Campania","Math",2015
"47",6395,13923,"F","assistant professor",1,1,"Campania","Math",2015
"48",8682,14472,"F","professor",1,1,"Campania","Math",2015
"49",1481,14953,"M","associate professor",1,1,"Campania","Math",2015
"50",3353,15856,"M","associate professor",1,1,"Campania","Math",2015
"51",7782,16575,"M","associate professor",1,1,"Campania","Math",2015
"52",3392,16803,"M","associate professor",1,1,"Campania","Math",2015
"53",8635,17207,"M","professor",1,1,"Campania","Math",2015
"54",6966,17281,"F","professor",1,1,"Campania","Math",2015
"55",6244,17968,"F","professor",1,1,"Campania","Math",2015
"56",2031,18002,"F","assistant professor",1,1,"Campania","Math",2015
"57",7665,18369,"F","assistant professor",1,1,"Campania","Math",2015
"58",1136,18826,"F","assistant professor",1,1,"Campania","Math",2015
"59",1136,19097,"F","assistant professor",1,1,"Campania","Math",2015
"60",705,20087,"F","assistant professor",1,1,"Campania","Math",2015
"61",7880,20358,"F","associate professor",1,1,"Campania","Math",2015
"62",5403,21019,"F","professor",1,1,"Campania","Math",2015
"63",6285,21023,"M","associate professor",1,1,"Campania","Math",2015
"64",145,21146,"M","professor",1,1,"Campania","Math",2015
"65",1583,21261,"F","assistant professor",1,1,"Campania","Math",2015
"66",404,21317,"F","professor",1,1,"Campania","Math",2015
"67",3452,21390,"M","associate professor",1,1,"Campania","Math",2015
"68",3064,21651,"M","associate professor",1,1,"Campania","Math",2015
"69",3064,22049,"M","associate professor",1,1,"Campania","Math",2015
"70",2144,22332,"M","professor",1,1,"Campania","Math",2015
"71",3027,22506,"F","assistant professor",1,1,"Campania","Math",2015
"72",1175,22581,"F","professor",1,1,"Campania","Math",2015
"73",3938,23084,"M","professor",1,1,"Campania","Math",2015
"74",3938,24052,"M","associate professor",1,1,"Campania","Math",2015
"75",145,24304,"M","associate professor",1,1,"Campania","Math",2015
"76",2783,24632,"M","assistant professor",1,1,"Campania","Math",2015
"77",40,25365,"F","associate professor",1,1,"Campania","Math",2015
"78",3,25410,"M","professor",1,1,"Campania","Math",2015
"79",8734,27172,"M","associate professor",1,1,"Campania","Math",2015
"80",2262,27230,"M","associate professor",1,1,"Campania","Math",2015
"81",6408,27666,"F","assistant professor",1,1,"Campania","Math",2015
"82",7766,27774,"F","associate professor",1,1,"Campania","Math",2015
"83",4973,28521,"M","assistant professor",1,1,"Campania","Math",2015
"84",3766,28577,"M","associate professor",1,1,"Campania","Math",2015
"85",7520,29240,"M","professor",1,1,"Campania","Math",2015
"86",8635,29735,"M","assistant professor",1,1,"Campania","Math",2015
"87",3336,30127,"F","professor",1,1,"Campania","Math",2015
"88",3137,30136,"M","assistant professor",1,1,"Campania","Math",2015
"89",5414,30164,"F","assistant professor",1,1,"Campania","Math",2015
"90",5414,30233,"F","professor",1,1,"Campania","Math",2015
"91",6163,30504,"M","professor",1,1,"Campania","Math",2015
"92",8453,30753,"M","professor",1,1,"Campania","Math",2015
"93",3766,31584,"M","associate professor",1,1,"Campania","Math",2015
"94",4434,31656,"M","associate professor",1,1,"Campania","Math",2015
"95",4973,31680,"M","assistant professor",1,1,"Campania","Math",2015
"96",3881,31701,"F","associate professor",1,1,"Campania","Math",2015
"97",878,31706,"M","professor",1,1,"Campania","Math",2015
"98",8734,32060,"M","assistant professor",1,1,"Campania","Math",2015
"99",2433,32197,"F","assistant professor",1,1,"Campania","Math",2015
"100",7637,32406,"F","assistant professor",1,1,"Campania","Math",2015
"101",2815,113,"M","assistant professor",1,1,"Campania","Phys",2015
"102",1481,1369,"M","associate professor",1,1,"Campania","Phys",2015
"103",61,1454,"M","assistant professor",1,1,"Campania","Phys",2015
"104",2783,2103,"M","professor",1,1,"Campania","Phys",2015
"105",6070,3363,"M","assistant professor",1,1,"Campania","Phys",2015
"106",2783,3394,"M","associate professor",1,1,"Campania","Phys",2015
"107",1838,4085,"M","assistant professor",1,1,"Campania","Phys",2015
"108",8540,4085,"M","assistant professor",1,1,"Campania","Phys",2015
"109",3255,4715,"M","associate professor",1,1,"Campania","Phys",2015
"110",878,5618,"M","assistant professor",1,1,"Campania","Phys",2015
"111",3766,5791,"M","assistant professor",1,1,"Campania","Phys",2015
"112",7503,7667,"F","associate professor",1,1,"Campania","Phys",2015
"113",2838,8289,"M","assistant professor",1,1,"Campania","Phys",2015
"114",706,8840,"F","professor",1,1,"Campania","Phys",2015
"115",693,9556,"F","assistant professor",1,1,"Campania","Phys",2015
"116",7520,10082,"M","assistant professor",1,1,"Campania","Phys",2015
"117",7782,10148,"M","professor",1,1,"Campania","Phys",2015
"118",7782,10296,"M","professor",1,1,"Campania","Phys",2015
"119",878,10576,"M","assistant professor",1,1,"Campania","Phys",2015
"120",5907,13252,"M","professor",1,1,"Campania","Phys",2015
"121",3938,14990,"M","professor",1,1,"Campania","Phys",2015
"122",6285,15295,"M","associate professor",1,1,"Campania","Phys",2015
"123",2783,15678,"M","professor",1,1,"Campania","Phys",2015
"124",3255,16342,"M","associate professor",1,1,"Campania","Phys",2015
"125",5113,18670,"M","professor",1,1,"Campania","Phys",2015
"126",5827,19618,"F","assistant professor",1,1,"Campania","Phys",2015
"127",519,21281,"F","associate professor",1,1,"Campania","Phys",2015
"128",1331,21328,"M","associate professor",1,1,"Campania","Phys",2015
"129",7840,21819,"M","professor",1,1,"Campania","Phys",2015
"130",7969,21883,"M","associate professor",1,1,"Campania","Phys",2015
"131",6064,24064,"M","associate professor",1,1,"Campania","Phys",2015
"132",4587,24777,"M","professor",1,1,"Campania","Phys",2015
"133",4313,24856,"F","associate professor",1,1,"Campania","Phys",2015
"134",310,25870,"M","associate professor",1,1,"Campania","Phys",2015
"135",7568,25870,"M","associate professor",1,1,"Campania","Phys",2015
"136",5907,26438,"M","professor",1,1,"Campania","Phys",2015
"137",8054,27230,"F","assistant professor",1,1,"Campania","Phys",2015
"138",8383,31625,"M","assistant professor",1,1,"Campania","Phys",2015
"139",3938,31701,"M","professor",1,1,"Campania","Phys",2015
"140",7496,1038,"F","professor",1,1,"Campania","Chem",2015
"141",278,2869,"F","assistant professor",1,1,"Campania","Chem",2015
"142",3938,3136,"M","associate professor",1,1,"Campania","Chem",2015
"143",4335,4442,"F","associate professor",1,1,"Campania","Chem",2015
"144",7197,5300,"M","professor",1,1,"Campania","Chem",2015
"145",1481,5538,"M","associate professor",1,1,"Campania","Chem",2015
"146",396,5599,"M","assistant professor",1,1,"Campania","Chem",2015
"147",5028,5633,"F","assistant professor",1,1,"Campania","Chem",2015
"148",6163,6029,"M","assistant professor",1,1,"Campania","Chem",2015
"149",8418,6144,"M","assistant professor",1,1,"Campania","Chem",2015
"150",104,6192,"M","associate professor",1,1,"Campania","Chem",2015
"151",7766,6337,"F","associate professor",1,1,"Campania","Chem",2015
"152",5113,6550,"M","associate professor",1,1,"Campania","Chem",2015
"153",6781,7511,"F","assistant professor",1,1,"Campania","Chem",2015
"154",8108,8117,"F","assistant professor",1,1,"Campania","Chem",2015
"155",1583,8517,"F","associate professor",1,1,"Campania","Chem",2015
"156",1358,8650,"M","associate professor",1,1,"Campania","Chem",2015
"157",6117,9269,"M","professor",1,1,"Campania","Chem",2015
"158",706,11421,"F","associate professor",1,1,"Campania","Chem",2015
"159",2783,9218,"M","assistant professor",1,1,"Campania","Chem",2015
"160",1625,9297,"M","assistant professor",1,1,"Campania","Chem",2015
"161",3064,10355,"M","associate professor",1,1,"Campania","Chem",2015
"162",5403,10375,"F","assistant professor",1,1,"Campania","Chem",2015
"163",6929,9846,"M","assistant professor",1,1,"Campania","Chem",2015
"164",3673,9941,"M","assistant professor",1,1,"Campania","Chem",2015
"165",1481,13303,"M","associate professor",1,1,"Campania","Chem",2015
"166",3881,14810,"F","assistant professor",1,1,"Campania","Chem",2015
"167",310,14931,"M","professor",1,1,"Campania","Chem",2015
"168",2743,15071,"F","assistant professor",1,1,"Campania","Chem",2015
"169",4825,15124,"F","professor",1,1,"Campania","Chem",2015
"170",3255,15251,"M","professor",1,1,"Campania","Chem",2015
"171",7264,15579,"M","professor",1,1,"Campania","Chem",2015
"172",4363,15944,"F","associate professor",1,1,"Campania","Chem",2015
"173",4921,15944,"F","assistant professor",1,1,"Campania","Chem",2015
"174",5883,16334,"F","associate professor",1,1,"Campania","Chem",2015
"175",231,16580,"F","associate professor",1,1,"Campania","Chem",2015
"176",5782,16624,"F","assistant professor",1,1,"Campania","Chem",2015
"177",6929,17280,"M","professor",1,1,"Campania","Chem",2015
"178",878,18980,"M","associate professor",1,1,"Campania","Chem",2015
"179",1358,19173,"M","professor",1,1,"Campania","Chem",2015
"180",6349,19272,"F","assistant professor",1,1,"Campania","Chem",2015
"181",3938,19902,"M","associate professor",1,1,"Campania","Chem",2015
"182",8208,19922,"M","assistant professor",1,1,"Campania","Chem",2015
"183",4139,20276,"M","assistant professor",1,1,"Campania","Chem",2015
"184",5492,20445,"F","associate professor",1,1,"Campania","Chem",2015
"185",6701,20707,"F","associate professor",1,1,"Campania","Chem",2015
"186",7278,21179,"M","professor",1,1,"Campania","Chem",2015
"187",4783,21564,"M","professor",1,1,"Campania","Chem",2015
"188",4693,22063,"F","assistant professor",1,1,"Campania","Chem",2015
"189",6763,22313,"F","associate professor",1,1,"Campania","Chem",2015
"190",1691,22815,"M","professor",1,1,"Campania","Chem",2015
"191",434,22863,"M","associate professor",1,1,"Campania","Chem",2015
"192",694,23423,"F","associate professor",1,1,"Campania","Chem",2015
"193",6966,23460,"F","assistant professor",1,1,"Campania","Chem",2015
"194",8208,23719,"M","assistant professor",1,1,"Campania","Chem",2015
"195",8191,24352,"F","assistant professor",1,1,"Campania","Chem",2015
"196",878,24569,"M","associate professor",1,1,"Campania","Chem",2015
"197",622,25032,"F","assistant professor",1,1,"Campania","Chem",2015
"198",4973,25130,"M","professor",1,1,"Campania","Chem",2015
"199",7323,25470,"M","professor",1,1,"Campania","Chem",2015
"200",6781,25703,"F","associate professor",1,1,"Campania","Chem",2015
"201",5257,25813,"F","associate professor",1,1,"Campania","Chem",2015
"202",2838,26019,"M","assistant professor",1,1,"Campania","Chem",2015
"203",6781,26255,"F","assistant professor",1,1,"Campania","Chem",2015
"204",5883,26398,"F","assistant professor",1,1,"Campania","Chem",2015
"205",3027,26681,"F","assistant professor",1,1,"Campania","Chem",2015
"206",1441,26923,"F","associate professor",1,1,"Campania","Chem",2015
"207",3526,26990,"M","associate professor",1,1,"Campania","Chem",2015
"208",788,28477,"F","associate professor",1,1,"Campania","Chem",2015
"209",193,28664,"M","professor",1,1,"Campania","Chem",2015
"210",5414,29025,"F","assistant professor",1,1,"Campania","Chem",2015
"211",1773,29551,"F","assistant professor",1,1,"Campania","Chem",2015
"212",8191,29634,"F","assistant professor",1,1,"Campania","Chem",2015
"213",2637,31046,"M","associate professor",1,1,"Campania","Chem",2015
"214",8635,31179,"M","associate professor",1,1,"Campania","Chem",2015
"215",7448,32075,"M","professor",1,1,"Campania","Chem",2015
"216",811,731,"F","associate professor",1,1,"Campania","Geo",2015
"217",6840,5719,"M","associate professor",1,1,"Campania","Geo",2015
"218",4973,8649,"M","associate professor",1,1,"Campania","Geo",2015
"219",5781,11754,"F","assistant professor",1,1,"Campania","Geo",2015
"220",2144,15295,"M","associate professor",1,1,"Campania","Geo",2015
"221",7520,27222,"M","professor",1,1,"Campania","Geo",2015
"222",622,451,"F","professor",1,1,"Campania","Bio",2015
"223",4039,1433,"F","associate professor",1,1,"Campania","Bio",2015
"224",1885,1713,"F","assistant professor",1,1,"Campania","Bio",2015
"225",622,5561,"F","associate professor",1,1,"Campania","Bio",2015
"226",4435,5733,"F","assistant professor",1,1,"Campania","Bio",2015
"227",8208,6364,"M","professor",1,1,"Campania","Bio",2015
"228",519,7393,"F","assistant professor",1,1,"Campania","Bio",2015
"229",8521,8203,"F","assistant professor",1,1,"Campania","Bio",2015
"230",8635,9636,"M","professor",1,1,"Campania","Bio",2015
"231",4693,10148,"F","assistant professor",1,1,"Campania","Bio",2015
"232",6632,10473,"F","professor",1,1,"Campania","Bio",2015
"233",1333,11584,"F","professor",1,1,"Campania","Bio",2015
"234",401,12431,"F","professor",1,1,"Campania","Bio",2015
"235",8054,12886,"F","assistant professor",1,1,"Campania","Bio",2015
"236",2403,15677,"F","associate professor",1,1,"Campania","Bio",2015
"237",8760,15944,"F","assistant professor",1,1,"Campania","Bio",2015
"238",622,18389,"F","assistant professor",1,1,"Campania","Bio",2015
"239",1278,18565,"M","professor",1,1,"Campania","Bio",2015
"240",8191,18891,"F","assistant professor",1,1,"Campania","Bio",2015
"241",4827,18902,"M","associate professor",1,1,"Campania","Bio",2015
"242",6330,19100,"F","assistant professor",1,1,"Campania","Bio",2015
"243",8323,19507,"F","assistant professor",1,1,"Campania","Bio",2015
"244",6709,20262,"F","assistant professor",1,1,"Campania","Bio",2015
"245",6781,20464,"F","assistant professor",1,1,"Campania","Bio",2015
"246",8037,20539,"F","assistant professor",1,1,"Campania","Bio",2015
"247",8198,21369,"F","associate professor",1,1,"Campania","Bio",2015
"248",4973,22332,"M","professor",1,1,"Campania","Bio",2015
"249",5414,22418,"F","associate professor",1,1,"Campania","Bio",2015
"250",829,23209,"M","associate professor",1,1,"Campania","Bio",2015
"251",8161,23335,"F","associate professor",1,1,"Campania","Bio",2015
"252",193,23693,"M","professor",1,1,"Campania","Bio",2015
"253",18,24213,"F","assistant professor",1,1,"Campania","Bio",2015
"254",380,24255,"F","assistant professor",1,1,"Campania","Bio",2015
"255",6840,25325,"M","associate professor",1,1,"Campania","Bio",2015
"256",231,25967,"F","assistant professor",1,1,"Campania","Bio",2015
"257",3494,29268,"M","professor",1,1,"Campania","Bio",2015
"258",5942,29541,"M","professor",1,1,"Campania","Bio",2015
"259",231,30146,"F","associate professor",1,1,"Campania","Bio",2015
"260",5486,30570,"F","professor",1,1,"Campania","Bio",2015
"261",434,31508,"M","associate professor",1,1,"Campania","Bio",2015
"262",3766,31524,"M","assistant professor",1,1,"Campania","Bio",2015
"263",8635,580,"M","associate professor",1,1,"Campania","Med",2015
"264",6070,641,"M","associate professor",1,1,"Campania","Med",2015
"265",6840,2103,"M","professor",1,1,"Campania","Med",2015
"266",6163,3136,"M","professor",1,1,"Campania","Med",2015
"267",3766,3442,"M","assistant professor",1,1,"Campania","Med",2015
"268",7969,4380,"M","assistant professor",1,1,"Campania","Med",2015
"269",5907,5724,"M","professor",1,1,"Campania","Med",2015
"270",8635,6258,"M","associate professor",1,1,"Campania","Med",2015
"271",2683,6273,"M","professor",1,1,"Campania","Med",2015
"272",7163,6550,"M","assistant professor",1,1,"Campania","Med",2015
"273",1495,7281,"F","professor",1,1,"Campania","Med",2015
